Drug,Review,Score,Likes
Dexmethylphenidate,I have a 5 year old son. He started this medication dexmethylphenidate for his ADHD about 2 months ago. It has made him zombified &amp; he cannot complete a sentence &amp; hes very confused when trying to talk. When he does talk he talks extremely low and nobody can hear him. When he doesnt have this medication he is off the walls with his behavior. Hitting kicking screaming telling us no &amp; just extremely terrible behavior. He does not eat while on his pills &amp; he barely drinks anything. He also does not like it loud or a lot going on hed rather be in his room by himself unless I make him go out &amp; hes the same like a zombie. The dose he takes is 10MG in the morning and 10MG in the afternoon. He has lost weight but not a ton. I feel as if it makes him angry when hes not on it &amp; like he has no care in the world when it wares off. Its like this medication has med his behavior worse than when he took no medication sometimes. I wouldnt recommend this medication &amp; Im glad Im not alone.,1,0
Dexmethylphenidate,"This dexmethylphenidate is the only medication I have tried thus far for my ADHD that has had a good effect on my life. When I take the 30mg Focalin XR that is prescribed to me, I can actually think clearly, have the motivation to do the things I need to do, and it makes me feel like a normal, happy, productive member of society.  The only bad thing I can say about this treatment is that it makes my fingers and toes more sensitive to the cold, but I have never lost feeling or complete color in any of them so I believe that its not a major cause for concern at this point in time",10,0
Dexmethylphenidate,"<b>Focalin (dexmethylphenidate):</b>			 Im scrolling through reviews and a lot of what Ive been feeling recently is starting to make sense - this medicine helps me focus but I feel weak and awful while on it. It makes me shake and my anxiety spikes  Ive also been having some depression issues -  my moods stoop to a terrible level and Ive been in such a dark place at some points.  This medicine makes me feel like a zombie, it makes me shake and feel sick to my stomach  I feel bad for any other kids taking this It helps me focus but makes me feel awful  I absolutely DREAD having to take them  I have experienced depersonalization, depression, major mood swings, anxiety, derealization, and suicidal tendencies after getting on this medication  I am not self diagnosing for anxiety and depression I strongly advise watching your kids before and after having them take these pills-  Make sure your child is safe and happy.  Im sorry for my terrible grammar and typing skills-",0,3
Dexmethylphenidate,<b>Focalin XR (dexmethylphenidate):</b>			 Took a break then started again and on day 3 I was nausea tired,0,1
Dexmethylphenidate,I've been on Focalin XR 30mg from 15-17 and from 22-23 [now]. I only stopped taking it in that period because I lost my insurance. I also recently started taking 10mg of regular focalin around noon-1pm as I work from 3am-3:30pm doing medical screening with an hours drive each way. Typically for a regular 9-5 work day the XR was more than adequate. The 10mg gives me just enough of a boost to get through till I get home at 4:30 without keeping me up when I go to bed at 5pm. Pros: -Best focus I've ever had in my life -Nice energy boost to get me through the drive and the shift despite odd hours  Cons: -Some mild dry mouth for about an hour after taking it  -Mild shaking off the hands for about half an hour after taking  -When the first dose wears off I am slightly more tired than without it,10,0
Dexmethylphenidate,"<b>Focalin (dexmethylphenidate):</b>			 Focalin 40 mg XR. I found that that this medication was mostly ineffective. If anything it has an initial kick and wears off extremely fast. I thought it would be like adderall xr which I could feel the effects come and go throughout the day at 30 mg. With focalin its just one burst of euphoria/adrenaline/ and then you crash and feel nothing  except for the physical side effects like chest pain, rapid heart beat, muscle tenseness. I took a nap 2.5 hours after taking it which is ridiculous. It is frustrating because you don't feel the sense of focus that adderall gives. I only took it for two days before I called it quits because I did not see a benefit and decided to go back to adderall 20 mg IR. This medication did not suit me as a 27 year old grad student. I felt anxiety and panic attack symptoms with the second dose I took and I did not want to continue. It actually had a negative impact on my work input for those two days.",0,4
Dexmethylphenidate,<b>Focalin (dexmethylphenidate):</b>			 Focalin make my hand and stomach numb and cause a tired feeling and a meh feeling and see if feeling but everyone says it helps me,0,1
Dexmethylphenidate,"<b>Focalin (dexmethylphenidate):</b>			 To start off, I would not recommend taking this drug Focalin unless absolutely necessary. It definitely helped me pay attention in school, and there was a noticeable difference between days I did take it, and days I did not. However, for me at least, the side-effects outweighed the benefits. I'd been on it from the ages of 7-17, and throughout those years I noticed a complete change in behavior. Muted emotions, loss of appetite, depression, insomnia. I paid more attention in school, sure, but all of those years I'd lost important emotional development time. It's only after being off of this drug for 5 years that I realize just how emotionally stunted it had made me over the years. I'm in college now, and admittedly it would help me get better grades. But I wouldn't take it again if someone paid me to do it.",0,8
Dexmethylphenidate,"Really didn't like Focalin. It was the first medication I tried after getting diagnosed with ADHD at age 18.  Made me, a person who really enjoys food, feel sick at the thought of eating. Also made me really anxious every week or so. I'd end up feeling really motivated to do something, but too restless to get it done. Also, the crash at the end of the 8 hours is really noticeable.",2,1
Dexmethylphenidate,<b>Focalin (dexmethylphenidate):</b>			 This medicine made my son so sick. He became anorexic and very nauseous.  It made him very aggressive and we had to take him off it.,0,8
