Drug,Review,Score,Likes
Gabapentin,"Hey, gabapentin has done wonders for me. I can clearly feel the difference between not taking it and taking it. In school my anxiety is a big problem, I couldnt even look at my classmates, it felt like my body was locked and I couldnt speak or look elsewhere than my pc. When using gabapentin these problems is just gone, Im happy, concentrated and very energetic. It is the best",10,12
Gabapentin,"I am someone who has a whole laundry list of problems (bipolar II with psychotic features, depression, generalized anxiety, ADHD, panic disorder, and dpdr) so that means I have to take a ton of medication and have been in therapy since I was 13. I just started gabapentin at 300 mg 3x a day and my anxiety is almost nonexistent. I used to be absolutely paralyzed by fear at random points during the day for seemingly no reason. To the point that all of my muscles would tense and I would feel like they are on fire. This is the only medication that has helped.",10,14
Gabapentin,Works amazing combined with venlafaxine. It seemed to help overall but taking the two medicines together created amazing clarity and concentration,10,20
Gabapentin,Helps tremendously with anxiety as well as depression.,10,49
Gabapentin,I am just now learning gabapentin helps people for so many different issues. Me personally I call it (My little miracle pill)!,10,35
Gabapentin,"I too went through the awful nightmare  when I quit gabapentin.  In the past I have quit xanax, alcohol, cocaine and a few others and those drugs were a cake walk compared to gabapentin.  I have never felt such anxiety and hopelessness.",3,25
Gabapentin,I am prescribed 300mg a day but can take up to 600mg. I noticed mood stabilization and anxiety riddance by day 4 or 5. The first week I was extremely high on this medication I even left my phone in a Chinese tea shop and had to turn around no joke. I am now enjoying living on campus at ASU and am getting out more by myself. It is helping me more than my benzo script ever did and Im in a low dosage! I got a fever as a side effect when I first started but now it is gone.,10,44
Gabapentin,"No bad side effects. The best drug for anxiety next to Ativan. The only weird, but enjoyable side effect was Closed Eye Visuals or CEVs.  I would wake in the middle of the night and with my eyes closed, I would see beautiful brightly colored patterns, which I would enjoy until I drifted off to sleep again.  I take 600mg 3x per day.",10,33
Gabapentin,"On gabapentin 1 month now.  300 mgs 3 x a day,  off label for anxiety.  So many side effects!!  Blurred and double vision, falling, memory gaps, diarrhea, way too hungry, 12 hour sleeps, ears ringing, and now hands and feet tingling and numb.  Horrible!  Dropped to two doses a day 10 days ago.  Felt better but the tingling had started last 4 days.  Dropped to one dose as of yesterday and going to stop altogether in a couple of days.  Only been a month so not worried about withdrawal, and its been gradual enough.  Yes, it knocked out anxiety, but the side effects arent worth it.",3,22
Gabapentin,"I've struggled with moderate to severe generalized anxiety for all of my life - mostly related to social and performance situations. I've tried many different drugs and have never been sure that they worked. Then I was prescribed Neurontin, and I can 100% feel the difference. My anxiety has decreased significantly on this drug. It sedates me nicely to the point that I'm still completely alert and myself, but I'm so much more easygoing and relaxed. My physical symptoms related to anxiety are still there but I feel less anxious about them, if that makes sense. It just makes the world much more bearable. There are some negative side effects - such as low sex drive, dizziness (which went away after taking for a few weeks), and sometimes I get extra teary. But it's not much of a price to pay if it helps with the main demon of anxiety!  Drugs affect everyone differently, but if you think your life is negatively affected by anxiety, it's definitely worth trying.",8,67
Gabapentin,"My doctor put me on Gabapentin due to daily headaches. I felt absolutely wasted for the first 3 weeks. Once that had worn off I cant say it helped my symptoms at all. I had awful nightmares, night sweats and the most intense anxiety Ive ever felt. Im now coming off the drug and its tough. I wouldnt recommend this for a long term fix or at all to be honest. It is different for everyone though.",1,20
Gabapentin,"I was rediagnosed after suicidal behavior had me on a hold. I was placed on 400mg 3x daily. The sleeping medication my doctor wished to have me on was denied by insurance and I began to take an extra dose before bed, making sure my psychiatrist knew I'd improvised. She agreed to change my script since it was working. The difference in my life has been incredible. I feel very little anxiety, my behavior is much less problematic interpersonally, and my productivity is through the roof. I'm also on bupropion 300mg XR. I've had almost no side effects. My cravings for alcohol are gone. I'm actually living for the first time in my adult life. The only thing that worries me is the possibility of withdrawal symptoms but it's worth the risk considering the effect it's had.",10,55
