Drug,Review,Score,Likes
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Ive only been on it for 3 days, I get so tired the first few hours until I try to actually go to sleep then Im restless, cant stop moving. Overheating with chills, and I feel sick the whole time Im on it. Nausea and headaches are very bad, consistently thirsty, and body aches! I dont know if this is normal starting out, I know that some medications make you feel sick at first but this is unbearable.",0,2
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Vraylar is a terrible drug. Gave me akasthia and made me really tired, felt like I couldnt think. Withdrawal symptoms are worse, I feel terrible and nauseous",0,2
Cariprazine,This drug cariprazine has changed my life entirely. I was on so many other medications before this and nothing worked. I was constantly crumbling and fighting suicidal thoughts and ideation. Since being on Vraylar I feel my emotions are so level and stable. I feel so calm and my mind is quiet. It brings me to tears thinking about it. Im beyond grateful for this medication as I feel it saved my life.,10,4
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I was prescribed this Vraylar for bipolar 2, mainly depression. I have been on it for a few weeks and I think this is the one that will change my life. I have a good level of mental energy for the first time ever (but not wired, like a stimulant), I suddenly have no problem motivating myself to do the things I want to do, I dont have the urge to overeat, and I am a happier, more cheerful person. I have had none of the extra pyramidal or cognitive side effects, but it did make me a little bit hypomanic at first and has made my sleep very fragmented, so I have had to take Saphris some nights to bring me down and help me sleep. All of the bad reviews and potential side effects made me scared to try it for a while, after having had a bad experience with another atypical antipsychotic, but the benefits have far outweighed any mild side effects Ive experienced.",0,37
Cariprazine,<b>Vraylar (cariprazine):</b>			 This is the worst medicine I have ever taken. It actually made my manic and compulsive buying worse. It messed with my sleep schedule and my blood sugar. Im normally 103-105 lbs. I was constantly hungry on this and my blood sugar would plummet between meals. I gained 7 lbs in 2 months after my doc put me on 3mg. I have switched to lithium and feel like a new person.,0,12
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Ive been on Vraylar for about 4 weeks. First few days I was really tired, day 4 I felt better, improved mood. Then I started to get cognitive impairment. Couldnt keep up with conversations, could hardly string a sentence together. My doctor wanted to increase to 3mg, so I did. Depression got a lot better, but had anxiety attacks, and fidgeting, restlessness, didnt find any pleasure in watching TV, couldnt concentrate. Could barely work cos I couldnt concentrate or talk to people. I have weaned off 3mg to 1.5mg, but it wasnt easy. Now I dont know if Ive got the courage to completely stop, I know depression will kick in. Any thoughts?",0,16
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I took two weeks of samples and started on week three when the side effects seriously started. First major hot flashes. Then the over eating and always thirsty. Then I started noticing I was constantly moving. I could not sit or stand still. My feet, my hands and hyperactivity. I also was constantly talking and over talking people. I couldn't wait. Everything had to be now. I stopped taking it and after two days was feeling much better. I have taken other medications and this was one of the worst.",0,13
Cariprazine,<b>Vraylar (cariprazine):</b>			 I was on it for about two weeks after switching from trileptal to treat my bipolar. I was on both trileptal and vraylar at the time. The vraylar made me feel suicidal and all around horrible. I would not recommend it. It only helped initially during the first couple of days like during the first 3 days.,0,6
Cariprazine,<b>Vraylar (cariprazine):</b>			 I do not really like how this drug made me feel. It did not do much for my depression. It has a lot of side effects and just made me very sleepy. Most likely won't take again!,0,9
Cariprazine,<b>Vraylar (cariprazine):</b>			 I have bipolar 1 and have been taking 3 mg of Vraylar w 200mg of Seroquel.  Im in heaven.  No more irritability. I sleep (thanks to the Seroquel).  No side effects.  I love it.  Im a normal person.  I can work.   Ive been on this mix for over three years.,0,26
Cariprazine,<b>Vraylar (cariprazine):</b>			 I have been dealing with bipolar for 20 years and this med is by far the worst. Started on 1.5 mg 3 x week and then to every other day.It spiralled me into the worse mania I have ever had .Was awake for 4 days straight .,0,13
Cariprazine,<b>Vraylar (cariprazine):</b>			 I just started taking Vyraylar and so far so good. I will see how it's going in a few weeks. No more high's and low's I like it so far.,0,7
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I started to help me the 2nd day I took Vraylar (  have bipolar) . It keeps me from hitting the low - lows. However,  I can no longer sleep more than 4 hours at a time. It's great as a mood stabilizer but not sleeping is starting to get to me. Is this normal?",0,14
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I must say.  15 years bipolar with a personality disorder and extreme anxiety.  I am on many medications for many things.  Vraylar has been WONDERFUL.  The first week was the worst week ever.  The sweating, I couldn't sit still at all, and I thought I was losing it... I made it to week two and all of that went away.  It was tough.  I still can't sit still well and get bored of things way faster then usual. I don't even care for my TV shows anymore... too hard to sit through.  However, the benefits FAR outweigh the cons.  Give it more then one week for sure...",0,26
Cariprazine,<b>Vraylar (cariprazine):</b>			 I love vraylar I feel amazing on it. Im totally stabilized but the issue I have is ever since I started taking it I havent had a period. And Im not sure if this is a side effect of the vraylar. Been to the gyno and everything is fine via blood work and uterine biopsy. So I dont know maybe something to look out for.,0,13
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Vraylar was the first drug I have ever used to treat my bipolar. I was scared out of my mind, but I finally took it. There were side effects the first few weeks that tapered off. I am in ongoing therapy which I think is really important.  Bottom line I am really glad I got over my fears and took it. I'm no longer depressed but I am feeling things now after a long time. Laughing more, yelling more, getting mad, and being more productive. I was depressed for a long time. I feel like I'm at the beginning of getting my life back. I was very concerned about weight gain so I work out every day .. at least thirty minutes of walking or going to the gym. I got really hungry so I joined weight watchers to track my food intake and get advice. I eat a ton of fruit and drink water all day. It's forcing me to be healthy. I have lost weight and not gained. Take your time with it. The insomnia was pretty bad but I'm leveling out. Muscle stiffness was a slight problem but I do yoga or stretch everyday.",0,20
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Awful, terrible med! Seriously! Makes you extremely tired! I was so excited about this med after watching the commercials and how it  covers all phases  of bipolar. At 1.5 mg, it knocks you out. On the next day, you're still just tired and have no motivation to get to work and be productive! Made my anxiety worse! Exacerbated the stress I was dealing with at the time! Would go to sleep with a knot in my gut. I quit the med and I had the worst 3 days of depression Ive had in a while, maybe even the worst ever! I cried in front of my supervisor at work. Be careful with the withdrawals! Depression is  the worst!!!",0,17
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Bipolar for 27 years. Been on every medication available prior to 2010. Never had hallucinations till trying Vraylar. After just a few doses I saw baby dragons crawling up the side of my fireplace. Didn't take it long enough to know if it helped my bipolar.  But I do know that even if it did, Vraylar is definitely not for me.",0,20
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I was on vrylor 1.5 mg for about 18 days. Felt on top of the world, thought I found a wonder drug.  Little did I realize I was getting more hyper and could not sleep past 5- 6 am.  Which is early for me. Been off this med for 6 days now and still having sleep problems. Wake up for the bathroom and now can't get back to sleep still!",0,15
Cariprazine,"<b>Vraylar (cariprazine):</b>			 On Vraylar and so far its okay, except for some pretty bad insomnia.  My mood is more positive and have some mild anxiety.  Pleased so far, but hoping for more.  Taking for bipolar depression.",0,11
Cariprazine,<b>Vraylar (cariprazine):</b>			 I had been on Seroquel for a few years and it just quit working. After spending 4 months cycling between depressive and mixed episodes my psych doc put me on 3mg of Vraylar and within 4 days the depressive episode stopped and I was able to return to a normal life pretty quick. I've been on it 3 months and I've had no depressive/mixed/manic episodes since then so Vraylar has been a godsend for me.,0,27
Cariprazine,<b>Vraylar (cariprazine):</b>			 This has been a life changer for me. I was on a number of different medications for my bipolar 1 disorder and had very little relief before vraylar.,0,26
Cariprazine,<b>Vraylar (cariprazine):</b>			 Vraylar is not recommended for people that are bi polar or have a family history of dementia I had a very bad reaction to vraylar.,0,10
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Tried many mood stabilizers since 2004 when after a manic episode and failed suicide, I was finally diagnosed with bipolar disorder, tried various mood stabilizers had too many side effects and manic episodes. Finally Vraylar came on the market and my doc prescribed it. I've been on it for 2 years and have had 1 manic episode and have an anxiety disorder I never had. With that being said, Vraylar has been the best prescribed medication yet.  I have no side effects. They only problem is the cost, because it's not generic yet. So with a Medicare advantage insurance, I have a $382 out of pocket copays. Right know my physiatrist is able to give me samples. I haven't found a patient assist program that helps.",0,23
Cariprazine,"<b>Vraylar (cariprazine):</b>			 This medication is the best one I have been on and I have been on many. Latuda made me hallucinate and I ended up jumping out a second story window. Seraquel made me sleep all of the times. Abilify did not work at all. The other medications were out of my price range.  My insurance company recommended that I try these and a few others prior to approving coverage of Vraylar. I was receiving samples from the public service agency I was in prior to my mother purchasing insurance for me. I am diagnosed Bipoar 1 with psychotic tendencies (hearing voices not in my head but in the rooms Im in. They are cruel critical of my actions and threatening that I will be arrested, hurt by my loved ones etc.  Vraylar is the only medications Ive taken so far that has helped ease these symptoms",0,26
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Took Vraylar for about 2 months. The restlessness in my body was the worst part for me. I couldnt get my arms comfortable to type at work which is 100% of my job. Also I started worrying about stuff more than I normally did, was called paranoid by my sister. Otherwise it worked great. Also experienced weight gain, but it was during the holidays to be fair.",0,16
Cariprazine,"<b>Vraylar (cariprazine):</b>			 HORRIBLE (for me), only 2 weeks in.  Made feel so disconnected and weird, paranoid, racing horrible thoughts, panic attacks, extremely sleepy and sluggish shortly after taking it and throughout the next day.  Now, coming off of it is making nervous and panicky, so I'm having to take Xanax daily to reverse these withdrawal side effects, of which I only take Xanax occasionally.  I cannot wait for this drug to be completely out of my system. NEVER AGAIN!!",0,23
Cariprazine,<b>Vraylar (cariprazine):</b>			 Question for ppl who's been taking Vraylar for awhile. What's the best time of the day to take this medicine? Because I feel like it makes me sleepy but when I took it at night I've noticed the next day I was still snappy and in a bad mood so advice on when to take it please ? And other advice as well I would appreciate it because I am a beginner on this medicine!!!,0,15
Cariprazine,<b>Vraylar (cariprazine):</b>			 I have been taking this medication for two weeks. The restlessness is almost gone. It has saved my life I love this medication. I feel like I can change my life finally! I saw give it a try. Its very smooth on the side effects unlike Latuda.,0,10
Cariprazine,<b>Vraylar (cariprazine):</b>			 I was just wondering if anyone else was experiencing rapid weight gain with this medication Vraylar. Im on week 3 and Ive already gained weight and my agitation is terrible. Any advice would be appreciated.,0,19
Cariprazine,<b>Vraylar (cariprazine):</b>			 I love this medication. No more mixed episodes of bipolar. Im on 4.5 mg only problem i have is insomnia.,0,9
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I was enthusiastic to begin Vraylar because the commercials made it look like a wonder drug for bipolar mixed episodes. I have to say it has helped but I can't know how much because I'm already on Wellbutrin (antidepressant), Lithium (mood stabilizer), and Seroquel (antipsychotic/sleep aid). Vraylar does cause wicked akathisia and, most notably for me, it does cause weight gain. I've been on it for over three months and I gained ten pounds easily. This amount is a lot for me, especially when it's so hard to lose. I am always hungry and I worry I am showing early signs of diabetes. I would like to go jogging but lately I've had no motivation to go. My swollen body feels helpless. I am going to try going off of Vraylar to see if I can become normal self. Do I really need this drug?  We shall see...",0,17
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Started taking Vraylar to calm my mania.  1 month in I became hypersexual on it with worse mania and began to dislike intercourse at the same time, although I wanted to have intercourse all the time.  Very strange.  I'm going off of it when I talk to my doctor.  Pins and needles in feet.  Liked it otherwise.",0,8
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Today is the first day Im taking it. I suffer from panic attacks and racing thoughts , highs and lows. Im all jacked up! Lol Im reading the reviews and Im kinda worried, but Ive got to give it a try. Everyone is different, Im hoping I am one of the lucky ones. It says it can cause weight gain but if I continue to eat healthy I shouldnt have a problem. I will repost again with my thoughts on the drug.",0,17
Cariprazine,"<b>Vraylar (cariprazine):</b>			 HORRIBLE. My psychiatrist put me onto this a few weeks ago. It made me feel loopy and drowsy so taking it at night wasnt a problem, however as soon as I would take it immediately I would fall asleep. I would then wake up at the slightest sound and not be able to go back to bed. I also had the side effect of akathisia that would keep me up. It was to the point I had to pace around to keep myself at bay. Sitting down was uncomfortable, standing up was uncomfortable as well. I also did not see much of difference in my mood. I just got switched to latuda due to these issues..hopefully it works.",0,10
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I am already so thankful to get off my last medication. I have been extremely restless at night, but I am still at to wake everyday at 5am and work a laborious 10 hour shift. I appreciate this after having to endure three months of lithium while working as an automotive technician. I am still with a clear head, and I haven't noticed any significant anxiety problems such as my last medication. Although, it will take weeks such as lithium to see what will actually take place, my digestive problems have diminished (huge cry out!!). I do have problems with appetite but not to a point where it has affected me while actually sitting down with food. I tend to enjoy that part no matter, and I've take medication that completely shuts off your enjoyment of food. Overall, I am ok with seeing if this will improve a long the way down and test out the symptoms that will occur.",0,4
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I love this medication!!! I feel better, act better, can tolerate just about anything now. I take 3mg and feel its the best for me right now.  Taking new medication is scary but Vraylar was by far the best decision.  I am happy now!! I think clearly. I smile. I laugh. I do things now. I get out of bed and have a purpose. I love my life. I do have blurred vision with Vraylar but I also feel its because I need a eye exam. I sleep great in vraylar and I actually have lost weight.  I would tell this person reading this please try it and I feel and hope you will love it as much as I do.  Best medication EVER",0,48
Cariprazine,"<b>Vraylar (cariprazine):</b>			 It works really well for me, but I have been having a problem getting the drugI was told there is a shortage on manufacturing and my pharmacist is having problems ordering it!",0,8
Cariprazine,<b>Vraylar (cariprazine):</b>			 My experience with this drug is somewhat good I no longer hallucinate and Ive seen to focus better at school,0,7
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Worked great for a few months, then gave me really bad anxiety and racing thoughts. I want off this.",0,12
Cariprazine,<b>Vraylar (cariprazine):</b>			 I've been taking Vraylar for 5 weeks 1.5 mg and I can't sleep more than 2-3 hrs a night. It has made my blood pressure go up. I also feel restless and have anxiety I've never had before. I'm being treated for bipolar and manic disorder my energy is gone I'm tired all the time. Not for me I'm going to stop taking it today was on line reading reviews to see why I feel the way I do. Well now I know,0,15
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I was on lamictal 200XR and Geodon 40 Mg switching to Vrylar 3mg. I have not enjoyed the switch. I have a job that requires me to make decisions quickly, be calm, and teach others. Since starting the Vrylar I have not been able to talk without having a hard time finding my words. I feel angry, and can not handle any stress. My body feels like I need to just move and can not be comfortable with any position. My eyes are heavy and I feel like I could just fall asleep if I didnt fight it.  I just feel so out of touch with who I am behavioral wise since taking this in a negative way.  I would not recommend this. I am stopping the medication with my doctors help.",0,14
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I took Vraylar as an add on along side Wellbutrin and Lithium for Major depressive disorder. I took the med as directed at night, went to bed. The next morning I got out of bed walked a few paced and then my ears started ringing, I got sweaty, my vision dimmed and I passed out on the floor. My mom (who has a background in nursing) had to revive me. Both my blood sugar and blood pressure had crashed. I picked up the medication info. for Vraylar looked it over and saw that the med. may lower your blood sugar and blood pressure.  So the moral of the story for me was always read the med. info packet.  Also if you have naturally low blood pressure or blood sugar issues you'd be better off not taking this med.  (Note: I am not a M.D. and this is just my opinion from my own personal experience with the drug.)",0,18
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I got insomnia starting the 2nd day and could only sleep with Olanzapine. After a couple weeks I decided to stop, and the withdrawal was so bad. I couldn't sleep, even with 15mg Olanzapine, my heart was beating super fast, I had a pseudo panic attack (and I don't suffer from anxiety at all, it never happened to me before) and only managed to calm down and sleep because I was given   an Ativan (Lorazepam). Don't get me wrong, if this drug works for you, great. But for me, it was the worst reaction I ever had to a drug, and I've been on countless anti-depressants, mood stabilizers and anti-psychotics.",0,15
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Had a bad experience with Zyprexa  for bipolar so my doc switched me to 1.5mg of Vraylar. I was so excited at first because its been said to be the best of the best. First few days, I felt...off. I chalked it up to coming off of Zyprexa. By day 5, I couldnt sleep more than 2-3 hours IF I was lucky. Id wake up with chest and stomach pain filled anxiety. No appetite whatsoever. Felt like my skin was crawling. I tend to be fearful of starting new meds so I asked my doc if it was normal and he just I was experiencing my  condition  and not the meds. So, like an idiot I gave it another week. The problems only worsened. I cried everyday because my body and emotions felt so uncomfortable. The anxiety was to the point I couldnt leave the house. All I did was want to scream and self harm (never had that desire before). Im now three days off and the anxiety and insomnia are still very VERY real. I just want to feel better. Please use caution with this drug. Its been terrifying for me.",0,26
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Side effects of Vraylar akathisia, insomnia, mild hallucinations, rashes, nausea, double vision, worst med I've ever been on.",0,10
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I've been on this rollercoaster of a med for two weeks now. At first, I could have sworn I was as good as new except for the insomnia. Come day eight or so, I was crawling out of my skin. Jerking arms, wringing feet, and nearly impossible to sleep. Worst akathisia I ever got from a med. Also, double vision, nausea, and constipation. I'm at two weeks akathesia to the point of not being able to sleep. Actually having mild hallucinations at this point. All I feel like on this med is a guinea pig.",0,16
Cariprazine,<b>Vraylar (cariprazine):</b>			 On Vraylar I had horrendous akathisia for two weeks with insomnia averaging 90 minutes a night. Junk should be taken off the market,0,11
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I will start tonight.  I've been reading all comments so I will give it a chance, they give me 1.5. Im bipolar and anxiety and panic attacks and paranoid and seroquel was not helping me at all",0,7
Cariprazine,<b>Vraylar (cariprazine):</b>			 I love Vraular so far. Really has helped me see life a different way. I feel more optimistic and happy. A problem that I have noticed is I have become more agitated but Ive only just started the medicine two weeks ago. So hopefully the agitation will go away.,0,15
Cariprazine,<b>Vraylar (cariprazine):</b>			 After trying numerous meds this finally worked for me. The only bad part is it has caused me to gain 20lbs. I started at 155 now I'm 175. It makes me constantly hungry. Why did I rate it so high?  I finally felt feel like the old me. I have energy my moods are better controlled  And it controls my anxiety. The pluses outnumber the negatives. I started on the lowest dose now I'm on 3 mg. It made me nauseous and irritible the first few days. But I noticed the difference quickly. I hope this will help someone that is looking for a new med.,0,34
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Vraylar is the first antipsychotic I've tried for my recent diagnosis of bipolar disorder. Even in just a few days, I noticed such a change. I was happy, motivated, not snapping on everyone, the list goes on. It was really GREAT! However.... now I am experiencing horrific vertigo, to the point to where I am falling and getting injured. Stopped taking the med (lowest dose, 1.5mg) 3 days ago and I cannot wait until it is out of my system. Also, noticed some bad rebound agitation.  Maybe because I am so worried and anxious about my dizziness, but the agitation is pretty bad.  *took for two days, stopped for four days (was getting bad leg cramps and NP advised me to stop this and see if that was the cause). Started back and was going on four days and the charley horses and dizziness began. Kept taking the med until day six. Now awaiting to see if stopping the med will make the dizziness go away. Vraylar has a looooong half life, so it can take several weeks to clear ones body.",0,10
