Drug,Review,Score,Likes
Invega Sustenna,"Taking this drug invega sustenna helped a bit with my schizophrenia symptoms. The side effects on the other hand were something else. I was significantly slowed down both mentally and physically. I did lose about 5 pounds and lost interest in food most probably due to feeling really depressed about my condition. I also couldnt stop walking about, I couldnt sit still anywhere for up to 2 mins. I also had abnormal muscle movements, my vision became really bad and blurry and I was drowsy all the time especially after taking a dose.",3,0
Invega Sustenna,"I don't feel much on this medication.  It takes away the pleasure of enjoying things like video games sadly.  I've lost my sense of smell while on this drug.  I've gained the most weight I have compared to other antipsychotics.  I tried coming off it for a month with no success, it's really strong on preventing delusions and hearing voices.  I can't ejaculate or feel much sexual pleasure while on this medication.",5,7
Invega Sustenna,I've been on this med Invega for years without it I was suicidal and often hurt myself with this med I'm happy again and have no desire to cause harm to myself only side effects are weight gain and long sleep,9,5
Invega Sustenna,Gained 40 lbs in two weeks right after taking it. Made me pale (I'm olive complexion). Made anxiety horrible for a few months (could not stop moving around). Messed up sleeping habits for a few months. Stopped my periods for three months in a row. Never had problems with any of these things before taking. Been off for ten months now just now getting back to close to normal.,2,10
Invega Sustenna,"I now have a deadly and nontreatable heart condition called a Left Anterior Fascicular Block (LAFB) due to over prescribed high doses of Invega and not being diagnosed 3 years in a row with hyperlipidemia (high cholesterol and extremely high triglycerides) and hyperprolactinemia (abnormal hormones causing loss of erection and sperm production) and 'reduced function' stage 2 kidney damage as well as 65lbs weight gain, none of which was diagnosed or referred to a PCP for treatment. Now I am without a treatment plan and my fate is sealed. Bad drug period.",1,9
Invega Sustenna,"I had a psychotic episode from drug use, they made me take injection and I feel like it was worst drug possible, I honestly can't explain how bad the side effects are. You get a weird smell odour, irregular heart beat, no up and go, no sex drive, dizzy all the time. I am off of it now and I am hoping I can come good again",1,14
Invega Sustenna,"Took 100 mg of the paliperidone drug (european dosing) when I was psychotic and, for 1 year (same dose, later added 20 mg Zyprexa), while the psychosis had gone, delusions and hallucinations persisted the entire time. Also, it raised my prolactin level to rocketing levels (2000 mIU/L).  Although it kept me away from psychosis, there are better alternatives for the disease.",3,4
Invega Sustenna,"Lets start off by saying it causes bloating. I hate the feeling. I been dieting and exercising but no results after eating. I have no sex drive, tiredness, no emotion, and lack of energy. I also dont want to leave the house. This shot has worked for my voices but the side effects are worst. Hopefully getting off of it soon.",1,9
Invega Sustenna,this drug is driving me crazy! I don't like the weight gain and it slows me down considerably... I can't eat whatever! every thing has sodium in it. my body has gone through the wringer(think using the potty) and people have to take things away to keep me from committing suicide.things are done behind my back to keep me stable as well. the edge is gone (me saying the f word on regular basis) but what about sleep? I am 43 years old and i need my beauty sleep! I never want to feel the feeling of being awake for weeks on end! Guess It doesn't help that I discovered coffee... bring on the drugs that encourage you and not make you fat and bloated!,0,7
Invega Sustenna,"Bad drug, it increases prolactin level's by a lot, in fact this drug ranks among the highest drugs that increase serum prolactin levels, and massive increase in prolactin levels reduces your testosterone by a hand full, don't expect to have a baby while on this medication. Don't expect an erection, Don't even bother with sex drive, that's for losers anyway. A massive decrease in libido. In short, this drug among a few other anti-psychotics will leave you feeling like a mix between a two year boy and a two year old girl.",1,17
Invega Sustenna,"The one positive effect of this drug (InVega Sustenna 150 mg every 4 weeks) is that it controls my hallucinations and delusions.  But the trade off is really hard to bear.  Ive lost all the joy in my life, the anhedonia is so bad that I have to live in a constant state of pretending to be happy because I am now unable to feel any kind of happiness or pleasure especially from activities I once enjoyed very much.  I cant recall things and my memories have evaporated.  I feel blunted and flat all the time.  I cant function in a meaningful way, and feel more depressed than I ever have in my life.  Ive gained lots of weight, lost muscle tone yet I feel agitated like I want to jump out of my skin all the time.  Being on this medication is a living nightmare.  I am 43 and feel like life has come to a screeching halt.",3,22
Invega Sustenna,"I took 6 injections over a 6 month period. I didn't notice much in the first couple of months. It helped with the paranoia, I still heard voices to a lesser extent. Around the 5th month, I had noticed I gained 50 lbs (115 to 165) It happened so rapidly. I also began to lactate. That was all horrible but the worst of it was the severe anhedonia. They wanted to slowly taper me off the injection but I refused to take any more after the 6 month period. I felt mentally slower. I got no pleasure from listening to music, or watching TV. I stopped laughing. This is just my personal experience, but if you look up this medicine you will find there are many people that have gone through a similar experience.  It's been 14 months since my last injection and I think I have mentally fully recovered. I think this drug is too potent. I am almost certain it gave me some sort of brain damage. One of the biggest regrets of my life is taking this drug, I was better off before.",1,28
Invega Sustenna,Changed my life!,10,4
Invega Sustenna,"The combination of drugs I was on, which included invega sustenna, caused a great amount of pain and suffering. Puking, coughing, kidney pain, prostate pain, brain on fire, lock jaw in the middle of the night, in some order which I've forgotten.",0,12
Invega Sustenna,Terrible drug. Left me with no emotions and complete anhedonia. Im stopping the injections in hopes of recovering to my former self.,1,17
Invega Sustenna,the only thing I'm noticing with Invega Sustenna is the bloated feeling. My symptoms are reduced some what me being a female and whatever...guess it's because I try not to eat whatever....,0,3
Invega Sustenna,"Worst experience of my life. I can't describe all of the side effects I had on invega Sustenna in 1000 characters, but my mind was disturbingly blank on this medication. It was as if all of my conscious thoughts were gone. I gained 25 pounds even though I just got the initial dose &amp; lost muscle. My delusions did go away so it worked for that, but it felt like it was because my thoughts stopped. I've gotten 4 sprains and one pulled muscle since I got injected with this poison at the end of August last year. My skin started flaking off and and my hair was falling out. I couldn't feel any emotions. I was unable to orgasm for the first month. There were more side effects, &amp; I don't think I fully conveyed the desperation I felt on this medication. I would like to let people who have gotten on it &amp; hate it that there is hope &amp; you will get better - once you are off it",1,31
Invega Sustenna,"I was injected twice Invega Sustenna.  I had no sex drive, no emotion, no pleasure for the first three weeks. I was miserable and it lasted 8 to 9 months off the drug. I wouldn't recommend this drug to anybody. I am on abilify maintena now and I am feeling much better. 0/10 invega sustenna",1,22
Invega Sustenna,"I've been on this drug/medicine for about two years and it has caused a lot of problems in my life. It barely helped with the auditory hallucinations such as the voices and paranoia. I feel like a zombie all the time, really tired, drained of energy, and like my brain is slowed down. I've had little to no sex drive (Sexual Dysfunction) and have no pleasure from sex. Within the first couple weeks of getting the injection of invega sustenna every month. I get muscle stiffness in my neck, arms, and hands. I feel like I can't breathe along with a rapid heart beat and a fever. I become confused, unable to function, dizzy, and lightheaded. This happens two to three times a month within a few weeks after getting the injection. I believe it might be because of NMS  (neuroleptic malignant syndrome) which is a rare side effect of the drug/medicine which might cause death. This is a horrible drug/medicine for me iIm going to try a different medicine from a different doctor and hope for the best.",3,17
Invega Sustenna,"This medicine is horrible every time I take it I am unable to workout. I can't even run a mile I am so weak. I get restless leg syndrome, fatigue, weight gain, and blur vision. I'm done taking medicine sick of it",1,26
Invega Sustenna,"This has helped with the symptoms of my illness. There are negative symptoms to it though. Foggy emotions, not sure if its cuz of the illness or the med. I am sort of happy now though, but no sex drive, periods, and gained 75 pounds. I took fluphenazine for a couple months, lost 20 pounds but felt worse than when I was on invega.",4,3
Invega Sustenna,"If I could rate this medication a 0, I would. Going on this medication was one of the biggest mistakes of my life. I have bipolar I disorder and suffered a severe manic episode that didnt respond to Seroquel or Risperdal. The psychiatrist prescribed me Invega and while it got rid of my mania and psychosis, it completely altered my personality. I had absolutely no emotion at all. I did not feel any sort of joy or happiness. Not to mention I gained at least 20pounds (Im a very active 24 year old). The suicidal thoughts were so severe that I needed to be hospitalized. The absolute worst part is that even when you stop Invega, it stays in your system for months. It has an extremely long half life. If you want to be a zombie and lose interest in everything you ever loved, then take this medicine. If youd like to be a productive member of society, avoid this medication at all costs. Find another medicine.",1,34
Invega Sustenna,"I started taking this medication as a monthly injection  for Hearing voices/ paranoia and I took it for about 6 months. It made me gain 40lbs, I lost all sex drive, my mind became foggy and I felt mentally slower. I also got severe anhedonia and became unable to feel the effects of alcohol, cigarettes. I don't recommend this medication to anyone.. I've been off it for 4 months and am still dealing with the side effects of this medication. I will say that it did reduce the voices significantly but only because it's such a powerful mind numbing drug. I would advise to try something else if you really need a medication. Basically a chemical lobotomy.",2,20
Invega Sustenna,Invega Sustenna was a horrible experience for me. This medication caused me to gain 20-30 pounds. It stopped my monthly cycles. I was also not able to experience sexual pleasure.  This medication ruins lives.,1,16
Invega Sustenna,"I've been taking invega sustenna for a little over a year now and for the majority of that year I had absolutely no positive or negative symptoms. Recently though, the paranoia a slight delusions have started to creep back into my mind. My psychiatrist upped my dose to 234 mg and now I can't stop eating and I'm hungry all the time. I already had a binge eating disorder but now it's infinitely worse. Also, the newer symptoms are still there. We're currently trying metformin to help with my appetite but so far it's doing absolutely nothing. I'm now thinking that I want to try switching to ziprasidone. It's supposed to be really good with weight management, but I'm worried it might not be as effective with my mental symptoms? I can't freak out because I'm working and going to school now. Back to invega though, I guess I can thank this medication for giving me my life back and making it so I can function in society. But I can't handle the weight gain...",0,5
Invega Sustenna,"Gained over 30 lbs on this medication even though I'm eating less and I've cut out sugar from my diet. What's even more depressing is that even though I'm heavier I'm actually weaker than I've been when I was skinny and off meds. Also when I skip my injection for a week I'm hitting threes and long two's like it's nothing on the basketball court, while on the medication there's no point in going to the court. Also the results of treatment are suboptimal: I don't have friends, during 6 years of treatment I've never been on a date (which probably also has something to do with poor sexual functioning while on the medication), I stay at home all the time, am unemployed and gained the status of a disabled person. However when on the medication I don't have positive symptoms like thought broadcasting. I'm seriously considering switching the medication, I'm depressed, desperate, feel awful all the time and can't do it anymore.",3,14
Invega Sustenna,"It works! but you have to want it too.  Mental illness is an illness of the brain.  The mind..  So you have to couple your taking of available meds and therapy.  You have to change the way your mind works and thinks.  Think on purpose for up to an hour a day by repeating a phrase or quote such as if you're a voice hearer repeat up to an hour a day (I cannot hear voices, they aren't real) x repeat.  Fish oil, good sleep, eat healthy and exercise every other day.  Look after yourself and work your thought life out.  I have schizophrenia, Bi-Polar and depression and hold 2 small businesses that I run for most of my work-week (Music Studio owner operator and Stock Market Trader)  I've had schizophrenia for 14 years and for 7 of those years ran a highly successful business where I used to live (talking 7 figures)   EAT healthy! THINK right, Exercise AND Do what you know you should!  positive positive positive.  you CAN do this!",9,23
Invega Sustenna,This medication gave me a stroke at the age of 25,1,23
Invega Sustenna,I find the drug makes me calm/relaxed.. but I have the most severe insomnia. I've gone 7 weeks without much sleep and have 0 energy or motivation. This drug has basically ruined my life and turned me into a stay at home vegetable with no future. Gonna switch to abilify and hopefully have a life back and good healthy sleep back,1,16
Invega Sustenna,Invega sustenna is gross.  It blocks dopamine in the brain. So causes a long list of side effects. This drug is a gimmick it has no therapeutic value whatsoever.  I think I threw up over a dozen times!,1,13
Invega Sustenna,"Warning: this shot will destroy your life. I only had 1 shot, the 234 mg. I dropped out of school, became depressed. It's been 3 years and I still suffer from absence of emotion. It doesn't sound like much but trust me, life becomes empty without emotions.  In some cultures, hallucinations are a sign from beyond. People that can hear or see things will often become shamans, medicine men, or healers.  I highly reccommend meditation, and/or seeing someone that is an energy healer.",1,21
Invega Sustenna,This medicine helped stop me talking to two women.,1,2
Invega Sustenna,"So I've been on this medication since 2014. Diagnosed with schizophrenia back in 2011 when I told doctors I was visited by spirits at a young age. They didn't believe me though I swear on my life it is true. Anyway, I was on 150mg. Had the worst side effects you could imagine. Very high prolactin levels, lactating from my breasts, amenorrhoea, absolutely no motivation at all, pretty much glued to my bed &amp; phone. So they adjusted my dose twice &amp; now I am feeling a bit better. Not a lot better though I would say. They say that a schizophrenia diagnosis is something you deal with for life so I would be careful what you tell your doctors. You could be on medication for life.",0,9
Invega Sustenna,I have a loved one who had a very long period (over 7 years) where she was unmedicated with active frightening visual and auditory hallucinations before she was able to receive help. After a 4 month hospitalization and oral antipsychotics including Zyprexa she was still totally delusional. After starting community based treatment she was started on Invega Sustana and within 2 months she was better than she has been in over 10 years. I was able to see glimpses of who she was before her brain disorder took over her life. She thinks that the shots are like water and they do nothing. Anosognosia  (lack of insight) is a very difficult issue with her so I am beyond pleased this medications ability to improve my love ones life.,0,9
Invega Sustenna,"Absolutely amazing. Made me back to normal, before I took the invega shot I had extreme paranoia thinking people wanted to kill me, thought the government was purposely making it hard for me  not to be homeless and literally thought my life was like the Truman show at some points and that everyone was actors around me, and wanted to kill me, literally within a day after taking this my life had changed and I became myself again before all the medication started.",10,8
Invega Sustenna,I was going through thyroid storm because I had taken liquid iodine with thyroid pills. At the time I was having a episode... and forced treatment against my will. The doctor told me that it was the only drug I could take and coerced me into taking it. 432 mg shot that was nearly the twice the max dose. I didn't like it because before I was on a dopamine 2 and not dopamine 3 antagonist like this drug does. Absolute crap! Before the episode I was healthy able to run 10k in under 40 minutes on Seroquel xr.... and now I'm dealing with withdrawals and high inflammation that was .7 now 4.3 because of stupid shot. It'll make you not able to think or do your job. You'll lose interest in things like working out and being healthy. The drug is rubbish!!,1,10
Invega Sustenna,Well I have been on this medication for some time now.  It has helped me with the voices but to be honest you do sleep  a lot and that's the only constant this medication has.  It makes you eat a lot and as far as sex drive goes lol I won't talk about it.  I think that it depends on who you are around to make you feel depressed you have to keep in mind that it's a serious disease but with medication it can be manageable. And if you are getting too fat exercise. You will get the weight off.  Keep positive people and remember the struggle is never done we may always have a stigma put on us or a label put on us but prove the enemy wrong.  Be the best you can be and shine bright like a diamond.  And remember god loves u,0,15
Invega Sustenna,"Okay let me get started. Every social worker, psychologist, and mental health doctor shouldn't prescribe this drug to anyone. It is harmful in so many ways. I took it for 1-2 years because they said: I had said that  I had bad schizophrenia. I did not have bad anything except a drug issue- which they already  knew  as they had tested my urine, but they  didn't take that into consideration. If you take this drug you will sleep away your life. You will lose you train of thought every 5 sentences. You will probably 75% chance to lose your job in a fast pace environment. When you take this drug you will lose muscles, goals, and cause you too get depressed.",1,18
Invega Sustenna,My symptoms are so much better with Invega Sustenna.,10,7
Invega Sustenna,"I've been taking invega (all forms) since 2011. I have to say it is a god send. Risperdal and abilify gave me sexual dysfunction. This at least allows me to get an erection. It's done a great job at controlling my positive symptoms of schizophrenia. The voices are dulled down to the point of single sentences and like only 1-4 times a day so it's a lot more managable in day to day life. Started on sustenna, went on the tablets and now on Trinza. All versions work very well for me. This medication is the metabolite form of risperdal and it's a god send. It's easier on the liver and I highly recommend sustenna and Trinza as the form to take for schizophrenia/schizoaffective!",10,12
Invega Sustenna,"Before my psychotic break that turned into a delusional police chase I was manic, terribly delusional, thought the devil was everywhere I went, thought people were after me, thought devil controlled electronics and the internet. Just too many bad symptoms and after receiving invega injection I've been told that I was more outgoing, and had absolutely no symptoms. But the side effects sucks such as high prolactin levels which resulted in low testosterone, anhedonia, and lower emotions",9,14
Invega Sustenna,"Hi folks. Have been on Vega inj. For 2months. Most hallucinations, auditory, visual, and mental gone. Has been a game changer for me as my life was completely unmanageable before. Still not leaving home much and have gained a few pounds nothing to drastic but it beats having conversations with people only I can see and not having a choice about it.  Also my insurance wouldn't cover it, it's about $2000usd for 1month inj.   Thanks, hope this helps.",9,18
Invega Sustenna,The side effects are devastating for me.,1,10
Invega Sustenna,"My side effect was like no other side effect I have had. I was leaning to the left no matter what I was doing. Sitting, standing, walking, even driving a car, My 3 boys revoked my license. I really was  okay and thankful to them. I am and have been going to a pain clinic for many years because of my back. It only made my back hurt more. Free of mental pain? Free of physical pain? Physical won!! My family doctor figured it out. So I guess just watch for anything different, Because if there was any good, the bad took it away. That is my opinions,  It hurt me more  than it helped me, I am very to see how many received help and relief from it.",1,8
